,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
284,Southern Indiana,30,10,20,.333,-13.86,-8.40,5,15,8,7,2,13,2144,2204,1215,766,1791,.428,216,616,.351,396,542,.731,315,1075,343,201,86,351,516,2025
285,Southern Methodist,35,24,11,.686,14.35,5.72,13,7,13,6,7,4,2797,2495,1400,990,2069,.478,275,727,.378,542,759,.714,436,1345,555,282,131,418,587,2025
286,Southern Mississippi,33,11,22,.333,-9.91,-3.33,5,13,9,6,1,13,2352,2507,1330,842,1954,.431,217,717,.303,451,652,.692,347,1233,476,227,142,460,554,2025
287,Southern Utah,31,12,19,.387,-10.63,-2.13,4,12,8,7,3,11,2163,2285,1240,758,1785,.425,182,582,.313,465,638,.729,341,1149,371,157,136,448,546,2025
288,St. Bonaventure,34,22,12,.647,2.92,0.07,9,9,12,4,7,6,2334,2218,1365,852,1918,.444,211,676,.312,419,575,.729,319,1145,373,256,110,353,456,2025
289,St. John's (NY) NCAA,36,31,5,.861,21.25,8.56,18,2,18,0,8,2,2825,2368,1460,1054,2366,.445,221,734,.301,496,718,.691,535,1487,565,320,186,392,601,2025
290,St. Thomas,34,24,10,.706,1.01,-4.51,12,4,14,0,7,8,2827,2544,1365,976,1983,.492,355,917,.387,520,667,.780,247,1063,523,244,108,324,613,2025
291,Stanford,35,21,14,.600,8.78,6.07,11,9,17,3,3,8,2571,2476,1400,896,2059,.435,294,859,.342,485,615,.789,374,1196,483,238,129,366,600,2025
292,Stephen F. Austin,31,14,17,.452,-8.01,-3.29,7,13,8,8,6,9,2065,2118,1255,756,1791,.422,191,659,.290,362,572,.633,407,1165,388,258,130,483,514,2025
293,Stetson,32,8,24,.250,-16.70,-4.70,6,12,5,9,3,11,2293,2608,1290,805,1810,.445,233,686,.340,450,612,.735,270,1056,376,165,99,415,470,2025
